Description,SampleDate,salinityLoad,phosphateLoad,particulateOrganicPhosphorusLoad,ammoniumLoad,particulateOrganicNitrogenLoad,dissolvedSilicaLoad,chlorophyllaLoad,Flow
The River Murray at Barrages,2017-07-01,3818.677,113.0957,925.9499,1644.4966,12545.0311,13314.3908,399.9906,8827.2
The River Murray at Barrages,2017-07-02,838.073,20.3003,208.9302,514.165,2830.654,2697.8028,73.8733,1981.1
The River Murray at Barrages,2017-07-03,445.921,11.6925,110.0626,240.3543,1491.1949,1447.4627,43.2226,939.8
The River Murray at Barrages,2017-07-04,207.235,5.5775,52.1717,108.4241,706.8387,680.6804,20.9013,131.7
The River Murray at Barrages,2017-07-05,510.819,11.4808,128.2374,312.5123,1737.37,1590.0277,43.1954,1198.7
The River Murray at Barrages,2017-07-06,2237.608,83.7018,567.2822,476.8555,7685.7153,7747.7945,329.7092,6291.8
The River Murray at Barrages,2017-07-07,1682.537,63.9436,416.6189,192.0626,5644.5947,5588.0114,256.9478,4318.8
The River Murray at Barrages,2017-07-08,439.195,12.792,111.0319,39.7839,1504.2975,1422.9822,50.0749,812.0
The River Murray at Barrages,2017-07-09,552.655,15.6945,142.402,50.8262,1929.2723,1751.0446,63.0209,1068.8
The River Murray at Barrages,2017-07-10,983.58,24.9702,253.8294,257.531,3438.9806,2984.4996,102.3715,2312.2
The River Murray at Barrages,2017-07-11,1444.52,32.7356,357.9021,469.6453,4849.0965,4087.813,136.6334,3225.6
The River Murray at Barrages,2017-07-12,3534.129,97.974,911.4216,702.9679,12347.9229,9947.2178,429.2465,8861.4
The River Murray at Barrages,2017-07-13,5488.538,155.9751,1480.09,907.1773,20052.6066,15425.6528,702.5996,14443.4
The River Murray at Barrages,2017-07-14,3755.865,97.7257,1001.6347,604.0265,13570.5974,10016.4154,451.0309,8831.7
The River Murray at Barrages,2017-07-15,4204.423,111.8156,1141.7585,293.9104,15469.3682,10594.25,537.5842,10089.8
The River Murray at Barrages,2017-07-16,4631.672,125.1381,1279.7612,341.4413,17338.8053,11264.3898,611.6969,11705.6
The River Murray at Barrages,2017-07-17,1326.97,37.3837,372.0212,117.2578,5040.2383,3105.6684,188.9273,3579.6
The River Murray at Barrages,2017-07-18,26.466,0.6964,7.3828,2.4171,100.0258,58.6044,3.603,0.0
The River Murray at Barrages,2017-07-19,39.014,0.8033,10.2974,10.1105,139.5124,88.9608,3.9605,0.0
The River Murray at Barrages,2017-07-20,1960.98,38.4413,508.0655,517.305,6883.3531,4265.2292,194.7716,5276.9
The River Murray at Barrages,2017-07-21,3536.811,71.2258,937.9077,696.4289,12707.0453,7082.0696,383.4772,9695.1
The River Murray at Barrages,2017-07-22,2304.79,49.9871,650.9162,163.7693,8818.9867,3995.625,297.4517,6817.8
The River Murray at Barrages,2017-07-23,1670.714,35.1895,486.7014,115.4694,6594.0026,2780.8441,217.81,5144.9
The River Murray at Barrages,2017-07-24,2203.793,43.0828,636.8661,262.5352,8628.6388,3690.9576,262.8628,6718.7
The River Murray at Barrages,2017-07-25,2238.749,41.536,652.272,365.8782,8837.2705,3822.367,253.8631,6726.7
The River Murray at Barrages,2017-07-26,2301.213,39.1613,649.4912,380.7091,8799.4502,3653.0355,246.2225,6757.2
The River Murray at Barrages,2017-07-27,3697.752,64.2678,1095.471,476.9528,14841.9497,5352.7065,412.0962,10476.2
The River Murray at Barrages,2017-07-28,3131.4,50.8563,911.9193,327.6792,12355.2816,3950.8704,340.0703,7629.5
The River Murray at Barrages,2017-07-29,317.928,4.7069,95.4453,32.3558,1293.1362,374.8093,35.8625,778.7
The River Murray at Barrages,2017-07-30,1001.554,16.6255,309.9489,42.7348,4199.2675,913.9748,111.79,3047.2
The River Murray at Barrages,2017-07-31,1904.644,29.8485,578.2709,188.3003,7834.6811,1912.145,197.8876,5720.1
The River Murray at Barrages,2017-08-01,3147.464,45.8015,948.3582,389.8316,12849.0289,3162.8906,315.6985,8763.7
The River Murray at Barrages,2017-08-02,4582.668,63.5375,1387.357,470.171,18796.4785,4400.6624,478.4103,13176.7
The River Murray at Barrages,2017-08-03,5036.922,67.4202,1496.1829,749.5997,20271.102,5874.0856,510.8451,14756.7
The River Murray at Barrages,2017-08-04,3408.904,44.7833,985.5683,607.5219,13352.8358,4442.307,333.1012,9555.3
The River Murray at Barrages,2017-08-05,55.782,0.7381,16.3031,8.8478,220.8815,70.7971,5.6307,41.7
The River Murray at Barrages,2017-08-06,20.8,0.2811,6.0586,3.2646,82.0831,26.9971,2.105,0.0
The River Murray at Barrages,2017-08-07,24.759,0.3344,6.9311,5.6369,93.9055,39.4458,2.2965,0.0
The River Murray at Barrages,2017-08-08,893.961,13.4455,224.6479,307.7836,3043.6733,1824.3853,64.7811,2119.0
The River Murray at Barrages,2017-08-09,2714.791,44.2486,752.7569,694.8059,10198.6279,4848.1394,242.0427,7076.2
The River Murray at Barrages,2017-08-10,1876.291,31.8007,548.7994,394.6508,7435.3595,3146.3989,186.1348,5131.7
The River Murray at Barrages,2017-08-11,137.094,1.9972,42.8352,13.5675,580.3408,177.7477,16.1176,273.8
The River Murray at Barrages,2017-08-12,378.525,5.3502,122.3489,26.7896,1657.6206,470.1471,47.3777,1079.3
The River Murray at Barrages,2017-08-13,559.432,7.0188,159.0548,35.4797,2154.9444,631.5088,61.9176,1364.8
The River Murray at Barrages,2017-08-14,4167.314,47.344,859.1845,814.3421,11640.6454,6196.1619,284.366,8398.6
The River Murray at Barrages,2017-08-15,3185.443,44.2232,794.8308,707.1505,10768.6879,5643.3202,267.97,7341.7
The River Murray at Barrages,2017-08-16,31.618,0.4234,7.8704,2.6598,106.6314,38.0143,3.0437,0.0
The River Murray at Barrages,2017-08-17,12.454,0.2072,3.7844,1.4126,51.2733,19.3067,1.462,0.0
The River Murray at Barrages,2017-08-18,8.77,0.1215,2.2173,1.5256,30.0411,14.659,0.7969,0.0
The River Murray at Barrages,2017-08-19,115.13,1.6914,29.2282,17.9744,396.0019,187.826,10.7913,66.6
The River Murray at Barrages,2017-08-20,151.283,2.25,39.2124,23.0631,531.2625,252.0238,14.6513,158.8
The River Murray at Barrages,2017-08-21,2721.37,38.5754,687.9109,410.549,9320.0716,4528.636,257.2277,6883.2
The River Murray at Barrages,2017-08-22,4258.213,62.0479,1065.5728,818.7412,14436.643,8005.5701,382.5987,9770.5
The River Murray at Barrages,2017-08-23,3264.124,50.7727,829.2044,752.9093,11234.4372,6897.8165,288.3961,7326.2
The River Murray at Barrages,2017-08-24,3534.194,54.9873,896.9507,818.2744,12152.2868,7608.4229,312.7134,7836.9
The River Murray at Barrages,2017-08-25,4813.783,53.4617,929.6232,879.132,12595.141,8144.6617,317.537,8367.8
The River Murray at Barrages,2017-08-26,3305.911,36.9109,750.5557,811.7031,10169.0007,7134.878,236.332,7322.8
The River Murray at Barrages,2017-08-27,2761.889,34.1262,689.9414,769.1098,9347.5717,6777.9903,213.6434,6736.1
The River Murray at Barrages,2017-08-28,3624.886,39.8108,738.1008,723.4945,10000.0155,6898.1319,245.2258,6679.2
